section,filename,kind,size,sha256,relpath
2. China’s Acquisition and Exploitation of American Voter Data,EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,pdf,950344,9422d9bac9c6eceaf4125708d5b4476dae54841bad38b85af599782e82711180,2. China’s Acquisition and Exploitation of American Voter Data/EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,pdf,11144794,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,2. China’s Acquisition and Exploitation of American Voter Data/EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf
2. China’s Acquisition and Exploitation of American Voter Data,FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,pdf,1580179,a08dc2a347dd6d0b8e8c40ff5eb6204e08b2854c92acf8b2eb47309458048b7f,2. China’s Acquisition and Exploitation of American Voter Data/FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf
2. China’s Acquisition and Exploitation of American Voter Data,NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf,pdf,1857619,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,2. China’s Acquisition and Exploitation of American Voter Data/NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf,pdf,2386059,ebc8700c7d5a49df87d2002d953d9e8fd18e28b24ac6fe241944da278f485a34,2. China’s Acquisition and Exploitation of American Voter Data/Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PDB 25JUN2020_DECLASS_REDACTED.pdf,pdf,1589223,ab523302b7e2c77b5d530b1483f668e76581accbb0eb14180ab1d1a7acfd3302,2. China’s Acquisition and Exploitation of American Voter Data/PDB 25JUN2020_DECLASS_REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,pdf,1047136,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,2. China’s Acquisition and Exploitation of American Voter Data/PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PRC Collection of US VoterMilitaryData - clean - declass marked_Redacted.pdf,pdf,312636,0e53257bd93d7e807cd48fae2cfcd92591aa47f172d33d90543c889a4526b83e,2. China’s Acquisition and Exploitation of American Voter Data/PRC Collection of US VoterMilitaryData - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,pdf,678231,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,2. China’s Acquisition and Exploitation of American Voter Data/PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf,pdf,442287,91565055d7ed239f44d40bd990197ea1830814c48a154c6db6e8bdfb88809e5c,2. China’s Acquisition and Exploitation of American Voter Data/PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,pdf,465522,506d61a75e258e2537bc06d369e8ecf97af68a61e581024bbc71fed3d8afe922,2. China’s Acquisition and Exploitation of American Voter Data/PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,Summary - clean - declass marked PART 1.pdf,pdf,166584,a21760a272855ac6d1e5e53fb7c09dd1df4ebf18816e3be2d893d24344f9ffe0,2. China’s Acquisition and Exploitation of American Voter Data/Summary - clean - declass marked PART 1.pdf
2. China’s Acquisition and Exploitation of American Voter Data,Summary - clean - declass marked PART 2.pdf,pdf,167561,4130ca794f83c03726a621af7972ea60c24fd3a00a38ca466afede8c0ac05df6,2. China’s Acquisition and Exploitation of American Voter Data/Summary - clean - declass marked PART 2.pdf
2. China’s Acquisition and Exploitation of American Voter Data,Summary - clean - declass marked PART 3.pdf,pdf,151395,4e5496fc9fefbc1b25a8f153e7f928daca2690bb2a71cee89ea9ced058030628,2. China’s Acquisition and Exploitation of American Voter Data/Summary - clean - declass marked PART 3.pdf
2. China’s Acquisition and Exploitation of American Voter Data,Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,pdf,9130479,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,2. China’s Acquisition and Exploitation of American Voter Data/Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,pdf,836730,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,2. China’s Acquisition and Exploitation of American Voter Data/US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,WHTF Government Transparency - States Statement FINAL.pdf,pdf,181149,62bc6f53d36ea6ce9c3ffae2a0ead43f0df21fc8d32cd99b980e84ce8c60f353,2. China’s Acquisition and Exploitation of American Voter Data/WHTF Government Transparency - States Statement FINAL.pdf
3. Michigan Voter-Registration Investigation,.DS_Store,dsstore,6148,58ddc9460d7d467a6b3a09bce04b4906a70c870bf195be0aaf91d7e21464c5fe,3. Michigan Voter-Registration Investigation/.DS_Store
3. Michigan Voter-Registration Investigation,0000001 - RELEASE MARKED.pdf,pdf,1828347,9dea06f5589aba90060ab2868b26b332f84bced02abdf37e46ee320e20b297cd,3. Michigan Voter-Registration Investigation/0000001 - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,196 - RELEASE MARKED.pdf,pdf,984367,daa9c23956b6b94a33133fba08a9f8a6f61b391bd319d3cecdcfbdd3a1e62002,3. Michigan Voter-Registration Investigation/196 - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,233 - RELEASE MARKED.pdf,pdf,902890,48c70c3f1665cb1a4a9d365d1f07ebaae43c6a0dcdd429eb41caf0fa289b2d28,3. Michigan Voter-Registration Investigation/233 - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,265_0000001 - RELEASE MARKED.pdf,pdf,200315,172a51ee135cbbe45f3fca9c0a05a5c86d0aa825b319db95c6f8517f1762c051,3. Michigan Voter-Registration Investigation/265_0000001 - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf,pdf,1489123,bb7e982ddca3b8ef57f2bc1b416f49ad54cdc8aee7299baac8ac88980b107dc8,3. Michigan Voter-Registration Investigation/FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Fake Voter 3 Memo RELEASE MARKED.pdf,pdf,120823,710057933a7574ae671309dc9cab28b01e161eaea9ba3cb91325bfb99c3c3d20,3. Michigan Voter-Registration Investigation/FBIMichigan Fake Voter 3 Memo RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Fake Voter Memo 1 RELEASE MARKED.pdf,pdf,142388,a3d644ba6d4041ee69402c8b4e024f514b01f1d06cce2cff13339594b9514a1e,3. Michigan Voter-Registration Investigation/FBIMichigan Fake Voter Memo 1 RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Fake Voter Memo 2 RELEASE MARKED.pdf,pdf,140361,74a00cec7d5bf038540dbf86f436f837789cb4d3ffdad2db7b57926be089b052,3. Michigan Voter-Registration Investigation/FBIMichigan Fake Voter Memo 2 RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Four Year Case Timeline RELEASE MARKED.pdf,pdf,1613002,a4f65bc58ed23b1029ee259a60348ef946deb40108a7298b1217d037d6da9ebd,3. Michigan Voter-Registration Investigation/FBIMichigan Four Year Case Timeline RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Fraudulent Registration Applications 91 of 107 RELEASE MARKED.pdf,pdf,699453,daad2e92044301e2cccff57873b3b10185d5f12051320c407148e18dc22dabd9,3. Michigan Voter-Registration Investigation/FBIMichigan Fraudulent Registration Applications 91 of 107 RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf,pdf,1209711,c03f83fb2d54eae2a0e0d0fe58f7a58a89558f531c58e5136e1f8a934317748a,3. Michigan Voter-Registration Investigation/FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf,pdf,790612,4ae64fd6128c48a1495cfb4006e462c77477e9331a063551fdf9e8537e1d3fd7,3. Michigan Voter-Registration Investigation/FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan PIN2023 Delay Memo - RELEASE MARKED.pdf,pdf,1177305,2d0f60c802ac40616705c6fa949c013411f56b20b5e90884aa32030102757ab5,3. Michigan Voter-Registration Investigation/FBIMichigan PIN2023 Delay Memo - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Voter Confirms She Did Not Register But Got Ballot RELEASE MARKED.pdf,pdf,927529,934137a1d72245ceefad5d58d881d1972b0bc8b9c38e5c1a2eada7e1b1b04983,3. Michigan Voter-Registration Investigation/FBIMichigan Voter Confirms She Did Not Register But Got Ballot RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Memo Gift Cards Suppress Trump RELEASE MARKED.pdf,pdf,1775758,fb5575e4f90ac978bb410426fd20ef84fd365fc70aed337557bcfc5993210a24,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Memo Gift Cards Suppress Trump RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Memo Other States RELEASE MARKED.pdf,pdf,842142,ddf4d7c8b77664363b2439432c5cb5c9c7518c355c5acd9916c7a36bfb6982d1,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Memo Other States RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Memo Paid By Registration Others Falsified RELEASE MARKED.pdf,pdf,1094976,655091bd2462db82495e70371c8a82a11d16f3383e2885c5e3eafca0e8fca859,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Memo Paid By Registration Others Falsified RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Memo Pot For Registrations RELEASE MARKED.pdf,pdf,315658,7957e5b5bb14a31ba27d82ff9edc251a35fb5e66697512be4a50ca901bec3c8b,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Memo Pot For Registrations RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Memo Probably Forged Memos RELEASE MARKED.pdf,pdf,824576,53ae802c46991ee0a0a854e1554e53be233dd0ff7ea3cc23c185fc81c39592cb,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Memo Probably Forged Memos RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Witness Interview Widespread Fake Registrations RELEASE MARKED.pdf,pdf,1716083,16798ea6bfabe9c552b30cf5bd4726050ef03aafec079ab622a3b10d2ddf6c4c,3. Michigan Voter-Registration Investigation/FBIMichigan Witness Interview Widespread Fake Registrations RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,FBIMichigan Worker Interview Sit In Car Fake Registrations RELEASE MARKED.pdf,pdf,970240,8ddf39c5c1853fa1897c35d05ba43a2c314a497874103befadd22713c81c41f6,3. Michigan Voter-Registration Investigation/FBIMichigan Worker Interview Sit In Car Fake Registrations RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,GBI Strategies -RELEASE MARKED.pdf,pdf,1250213,dde90b90ae9822256d55df5e7ad7cc2a12a26aa1aeb6d2623630d3f29614b9ca,3. Michigan Voter-Registration Investigation/GBI Strategies -RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,PIN EDMI declination - RELEASE MARKED.pdf,pdf,1504686,c1dce1a99c75d4842c66947d53b7a6c13f691d1933c12fe2519d77e7db14ffc2,3. Michigan Voter-Registration Investigation/PIN EDMI declination - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,PIN GBI Declination - RELEASE MARKED.pdf,pdf,620156,093a4153b77feddf475a6ad9aaf3bd8e2e2f4d8c00cd516b319d0c3f18516302,3. Michigan Voter-Registration Investigation/PIN GBI Declination - RELEASE MARKED.pdf
3. Michigan Voter-Registration Investigation,Voter Fraud Spreadsheet - RELEASE MARKED.pdf,pdf,633271,8e4eaa72274e91134cb7c7ff7f0b8f3fea168714675e0e43677b49788ffc71f5,3. Michigan Voter-Registration Investigation/Voter Fraud Spreadsheet - RELEASE MARKED.pdf
4. Noncitizens on State Voter Rolls,.DS_Store,dsstore,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,4. Noncitizens on State Voter Rolls/.DS_Store
4. Noncitizens on State Voter Rolls,Alien Voter Registration Summary.pdf_Redacted.pdf,pdf,138867,c5aa4d27eb225c35812e3e9d00093c4780383f6b6feeb88eb3fe603ecb7593f3,4. Noncitizens on State Voter Rolls/Alien Voter Registration Summary.pdf_Redacted.pdf
4. Noncitizens on State Voter Rolls,Voter Registration Database Threats - FINAL.pdf,pdf,496082,ef8d1d0406127f1618210004db8602d59e2c4afe534de46784932f904ef110c3,4. Noncitizens on State Voter Rolls/Voter Registration Database Threats - FINAL.pdf
__MACOSX,._.DS_Store,appledouble,120,2f380f4a3d05a8d90c2106f50da75064e9ce57a598599dc5404f8f69a0223aa9,__MACOSX/3. Michigan Voter-Registration Investigation/._.DS_Store
__MACOSX,._.DS_Store,appledouble,120,2f380f4a3d05a8d90c2106f50da75064e9ce57a598599dc5404f8f69a0223aa9,__MACOSX/4. Noncitizens on State Voter Rolls/._.DS_Store
__MACOSX,._0000001 - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._0000001 - RELEASE MARKED.pdf
__MACOSX,._1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/._1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems
__MACOSX,._18 States Memo - clean - declass mark_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._18 States Memo - clean - declass mark_Redacted.pdf
__MACOSX,._196 - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._196 - RELEASE MARKED.pdf
__MACOSX,._2. China’s Acquisition and Exploitation of American Voter Data,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/._2. China’s Acquisition and Exploitation of American Voter Data
__MACOSX,._200M Voter Records Compromised - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._200M Voter Records Compromised - declass marked_Redacted.pdf
__MACOSX,._233 - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._233 - RELEASE MARKED.pdf
__MACOSX,._265_0000001 - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._265_0000001 - RELEASE MARKED.pdf
__MACOSX,._3. Michigan Voter-Registration Investigation,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/._3. Michigan Voter-Registration Investigation
__MACOSX,._4. Noncitizens on State Voter Rolls,appledouble,212,4460b5913a80d3e4e61d4ab2e9c0d60da18a4b390f50f75b7673fc9844b772e1,__MACOSX/._4. Noncitizens on State Voter Rolls
__MACOSX,._Alien Voter Registration Summary.pdf_Redacted.pdf,appledouble,212,4460b5913a80d3e4e61d4ab2e9c0d60da18a4b390f50f75b7673fc9844b772e1,__MACOSX/4. Noncitizens on State Voter Rolls/._Alien Voter Registration Summary.pdf_Redacted.pdf
__MACOSX,._CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf
__MACOSX,._CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf
__MACOSX,._CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf
__MACOSX,._CISA Election Report - FINAL.pdf,appledouble,182,1f612da9ebe68a7ef5bc53142dc04c4b0eb13bac335303420da98cdc39833b3d,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._CISA Election Report - FINAL.pdf
__MACOSX,._EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf
__MACOSX,._EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf
__MACOSX,._EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf
__MACOSX,._EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf
__MACOSX,._EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf
__MACOSX,._EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf
__MACOSX,._EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf
__MACOSX,._FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Fake Voter 3 Memo RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Fake Voter 3 Memo RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Fake Voter Memo 1 RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Fake Voter Memo 1 RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Fake Voter Memo 2 RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Fake Voter Memo 2 RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Four Year Case Timeline RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Four Year Case Timeline RELEASE MARKED.pdf
